"RO","Raimundo Colombo"
"AC","Tião Viana"
"AM","David Almeida"
"RR","Suely Campos"
"PA","Simão Jatene"
"AP","Waldez Góes"
"TO","Marcelo Miranda"
"MA","Flávio Dino"
"PI","Wellington Dias"
"CE","Camilo Santana"
"RN","Robinson Faria"
"PB","Ricardo Coutinho"
"PE","Paulo Câmara"
"AL","Renan Filho"
"SE","Jackson Barreto"
"BA","Rui Costa"
"MG","Fernando Pimentel"
"ES","Paulo Hartung"
"RJ","Luiz Fernando Pezão"
"SP","Geraldo Alckmin"
"PR","Beto Richa"
"SC","Raimundo Colombo"
"RS","José Ivo Sartori"
"MS","Reinaldo Azambuja"
"MT","Pedro Taques"
"GO","Marconi Perillo"
"DF","Rodrigo Rollemberg"
